설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자	제공기관코드	제공기관명
동미빌딩1-1	에스콰이어 앞 주차단속 CCTV 폴대-동	제주특별자치도	서귀포시	교통시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 395-1	정보정책과	064-710-2352	33.24843804	126.5658499	2020-10-28	6500000	제주특별자치도
동미빌딩1-2	에스콰이어 앞 주차단속 CCTV 폴대-서	제주특별자치도	서귀포시	교통시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 395-1	정보정책과	064-710-2352	33.24843804	126.5658499	2020-10-28	6500000	제주특별자치도
정방동 공영주차장 1-1	4층 충전기 옆 가로등	제주특별자치도	서귀포시	편의시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 403-3	정보정책과	064-710-2352	33.2478199	126.5653659	2020-10-28	6500000	제주특별자치도
이중섭거리	CCTV 폴대 1	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 523-2	정보정책과	064-710-2352	33.24590254	126.5640819	2020-10-28	6500000	제주특별자치도
이중섭거리	CCTV 폴대 2	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 523-2	정보정책과	064-710-2352	33.24590254	126.5640819	2020-10-28	6500000	제주특별자치도
이중섭거리	IP 주	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 523-2	정보정책과	064-710-2352	33.24590254	126.5640819	2020-10-28	6500000	제주특별자치도
자치경찰단 서귀포지역경찰대	건물외벽	제주특별자치도	서귀포시	편의시설	KT	Jeju Free WiFI		제주특별자치도 서귀포시 부두로 1	제주특별자치도 서귀포시 서귀동 556-15	정보정책과	064-710-2352	33.24495551	126.5657325	2020-10-28	6500000	제주특별자치도
솔동산 문화의 거리	단속CCTV 폴대 1	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 태평로 414	제주특별자치도 서귀포시 서귀동 573-11	정보정책과	064-710-2352	33.24465021	126.5645433	2020-10-28	6500000	제주특별자치도
솔동산 문화의 거리	단속CCTV 폴대 2	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 태평로 414	제주특별자치도 서귀포시 서귀동 573-11	정보정책과	064-710-2352	33.24465021	126.5645433	2020-10-28	6500000	제주특별자치도
서귀포성당 뒤 주차장(솔동산로근처)	한전주	제주특별자치도	서귀포시	편의시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 600-3	정보정책과	064-710-2352	33.24365413	126.5629398	2020-10-28	6500000	제주특별자치도
홍연8길	서05-137	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 홍연8길 3	서울특별시 서대문구 연희동 721	서울시	02-3140-8664	37.57665108	126.9313614	2020-01-01	3120000	서울특별시 서대문구
홍제천로	서05-110	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 홍제천로 16-2	서울특별시 서대문구 연희동 542-44	서울시	02-3140-8664	37.56881389	126.9190206	2020-01-01	3120000	서울특별시 서대문구
궁동근린공원	궁둥근린공원(화장실 옥상) 서 05-205	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 성산로7길 19-22	서울특별시 서대문구 연희동 산 118-1	서울시	02-3140-8664	37.56861286	126.9196524	2020-01-01	3120000	서울특별시 서대문구
궁동근린공원	주민센터 서대문4번종점)	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로11마길 80	서울특별시 서대문구 연희동 444-44	서울시	02-3140-8664	37.56977961	126.9245183	2020-01-01	3120000	서울특별시 서대문구
밤고개놀이터	밤고개놀이터	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희동 196-25	서울특별시 서대문구 연희동 196-25	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
연희로 11라길	서05-405	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로11라길 2	서울특별시 서대문구 연희동 132-38	서울시	02-3140-8664	37.56802144	126.9296711	2020-01-01	3120000	서울특별시 서대문구
연희로 11라길	서05-122	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로11라길 37-7	서울특별시 서대문구 연희동 125-3	서울시	02-3140-8664	37.56910975	126.9287628	2020-01-01	3120000	서울특별시 서대문구
궁뜰어린이공원	연희동 123-5 맞은편 서05-103	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로 15길 31	서울특별시 서대문구 연희동 124-44	서울시	02-3140-8664	37.56879275	126.9302285	2020-01-01	3120000	서울특별시 서대문구
다람쥐어린이공원	다람쥐어린이공원 맞은편 서05-113	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로31길 23	서울특별시 서대문구 연희동 151-87	서울시	02-3140-8664	37.57582226	126.9342078	2020-01-01	3120000	서울특별시 서대문구
연희지하차도 녹지공간	연희지하차도 녹지공간 서05-146	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희동 151-32	서울특별시 서대문구 연희동 151-32	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
연희지하차도 녹지공간	연희지하차도 녹지공간 서05-146	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희동 151-32	서울특별시 서대문구 연희동 151-32	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
서대문구청	서대문구청 2층 어르신복지과	서울특별시	서대문구	공공기관	서대문구	Public WiFi@Seodaemun	Dec-17	서울특별시 서대문구 연희로 248	서울특별시 서대문구 연희동 168-6	서대문구	02-3140-8664	37.57915463	126.9367592	2020-01-01	3120000	서울특별시 서대문구
서대문구청	서대문구청 2층 세무과 중앙	서울특별시	서대문구	공공기관	서대문구	Public WiFi@Seodaemun	Dec-17	서울특별시 서대문구 연희로 248	서울특별시 서대문구 연희동 168-6	서대문구	02-3140-8664	37.57915463	126.9367592	2020-01-01	3120000	서울특별시 서대문구
서대문구청	7층 옥상정원	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul	Dec-17	서울특별시 서대문구 연희로 248	서울특별시 서대문구 연희동 168-6	서울시	02-3140-8664	37.57915463	126.9367592	2020-01-01	3120000	서울특별시 서대문구
홍제천 일대	주민센터 홍은어린이집앞 서10-120	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul	Dec-17	서울특별시 서대문구 홍은동 275-36	서울특별시 서대문구 홍은동 275-36	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
홍제천 일대	주민센터 홍은어린이집앞 서10-120	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul	Dec-17	서울특별시 서대문구 홍은동 275-36	서울특별시 서대문구 홍은동 275-36	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
홍제천 일대	두바퀴쉼터	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul	Dec-17	서울특별시 서대문구 홍제천로 111	서울특별시 서대문구 연희동 696	서울시	02-3140-8664	37.5751121	126.9264321	2020-01-01	3120000	서울특별시 서대문구
연희동주민센터	2층 동장실	서울특별시	서대문구	공공기관	서대문구	Public WiFi@Seodaemun	Mar-17	서울특별시 서대문구 연희로189	서울특별시 서대문구 연희동 77-9	서대문구	02-3140-8664	37.57388703	126.9352207	2020-01-01	3120000	서울특별시 서대문구
사회적경제마을센터	센터 2층	서울특별시	서대문구	복지센터등	서대문구	Public WiFi@Seodaemun	Mar-17	서울특별시 서대문구 수색로 43	서울특별시 서대문구 남가좌동 296-13	서대문구	02-3140-8664	37.56979231	126.9133525	2020-01-01	3120000	서울특별시 서대문구
사회적경제마을센터	센터 2층	서울특별시	서대문구	복지센터등	서대문구	Public WiFi@Seodaemun	Mar-17	서울특별시 서대문구 수색로 43	서울특별시 서대문구 남가좌동 296-13	서대문구	02-3140-8664	37.56979231	126.9133525	2020-01-01	3120000	서울특별시 서대문구
사회적경제마을센터	센터 3층	서울특별시	서대문구	복지센터등	서대문구	Public WiFi@Seodaemun	Mar-17	서울특별시 서대문구 수색로 43	서울특별시 서대문구 남가좌동 296-13	서대문구	02-3140-8664	37.56979231	126.9133525	2020-01-01	3120000	서울특별시 서대문구
사회적경제마을센터	센터 3층	서울특별시	서대문구	복지센터등	서대문구	Public WiFi@Seodaemun	Mar-17	서울특별시 서대문구 수색로 43	서울특별시 서대문구 남가좌동 296-13	서대문구	02-3140-8664	37.56979231	126.9133525	2020-01-01	3120000	서울특별시 서대문구
사회적경제마을센터	센터 4층	서울특별시	서대문구	복지센터등	서대문구	Public WiFi@Seodaemun	Mar-17	서울특별시 서대문구 수색로 43	서울특별시 서대문구 남가좌동 296-13	서대문구	02-3140-8664	37.56979231	126.9133525	2020-01-01	3120000	서울특별시 서대문구
연희사거리	빵굼터앞 CCTV 서05-104	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희맛로 28	서울특별시 서대문구 연희동 137-6	서울시	02-3140-8664	37.56728114	126.9305207	2020-01-01	3120000	서울특별시 서대문구
연희사거리	빵굼터앞 CCTV 서05-104	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희맛로 28	서울특별시 서대문구 연희동 137-6	서울시	02-3140-8664	37.56728114	126.9305207	2020-01-01	3120000	서울특별시 서대문구
연희로 10가길	서05-119	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로10가길 50	서울특별시 서대문구 연희동 194-27	서울시	02-3140-8664	37.5648327	126.930689	2020-01-01	3120000	서울특별시 서대문구
연희로 10길	서05-128	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로10길 42	서울특별시 서대문구 연희동 309-1	서울시	02-3140-8664	37.56522092	126.9325224	2020-01-01	3120000	서울특별시 서대문구
연희로 10길	서05-128	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로10길 42	서울특별시 서대문구 연희동 309-1	서울시	02-3140-8664	37.56522092	126.9325224	2020-01-01	3120000	서울특별시 서대문구
연희로 10길	서05-135	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로10길 77	서울특별시 서대문구 연희동 30	서울시	02-3140-8664	37.56395371	126.9333907	2020-01-01	3120000	서울특별시 서대문구
연희로 10길	서05-135	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로10길 77	서울특별시 서대문구 연희동 30	서울시	02-3140-8664	37.56395371	126.9333907	2020-01-01	3120000	서울특별시 서대문구
연희로	서05-401	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로 110	서울특별시 서대문구 연희동 69-22	서울시	02-3140-8664	37.56760572	126.9318256	2020-01-01	3120000	서울특별시 서대문구
연희로	서05-401	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로 110	서울특별시 서대문구 연희동 69-22	서울시	02-3140-8664	37.56760572	126.9318256	2020-01-01	3120000	서울특별시 서대문구
안산 자락길입구	안산만남의 광장CCTV서05-147	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희동 산 2-37	서울특별시 서대문구 연희동 산 2-37	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
안산 자락길입구	안산만남의 광장CCTV서05-147	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희동 산 2-37	서울특별시 서대문구 연희동 산 2-37	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
서대문독립공원	독립문방문자센터	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 통일로 251	서울특별시 서대문구 현저동 101	서울시	02-3140-8664	37.57460851	126.9556118	2020-01-01	3120000	서울특별시 서대문구
서대문독립공원	독립문방문자센터	서울특별시	서대문구	공원	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 통일로 251	서울특별시 서대문구 현저동 101	서울시	02-3140-8664	37.57460851	126.9556118	2020-01-01	3120000	서울특별시 서대문구
연희로 35길	서05-112	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로35길 33-12	서울특별시 서대문구 연희동 161-2	서울시	02-3140-8664	37.57795474	126.9348825	2020-01-01	3120000	서울특별시 서대문구
연희로 35길	서05-112	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로35길 33-12	서울특별시 서대문구 연희동 161-2	서울시	02-3140-8664	37.57795474	126.9348825	2020-01-01	3120000	서울특별시 서대문구
연희로 33나길	서05-123	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로33나길 8	서울특별시 서대문구 연희동 170-121	서울시	02-3140-8664	37.57790098	126.9334841	2020-01-01	3120000	서울특별시 서대문구
연희로 33나길	서05-123	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 연희로33나길 8	서울특별시 서대문구 연희동 170-121	서울시	02-3140-8664	37.57790098	126.9334841	2020-01-01	3120000	서울특별시 서대문구
홍연6길	서05-138	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 홍연6길 46	서울특별시 서대문구 연희동 723-10	서울시	02-3140-8664	37.57672212	126.932533	2020-01-01	3120000	서울특별시 서대문구
홍연6길	서05-125	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 홍연6길 19	서울특별시 서대문구 연희동 715-5	서울시	02-3140-8664	37.57634946	126.9312607	2020-01-01	3120000	서울특별시 서대문구
홍연6길	서05-125	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 홍연6길 19	서울특별시 서대문구 연희동 715-5	서울시	02-3140-8664	37.57634946	126.9312607	2020-01-01	3120000	서울특별시 서대문구
홍연8길	서05-137	서울특별시	서대문구	주요거리	서울시(SAW)	Public WiFi@Seoul		서울특별시 서대문구 홍연8길 3	서울특별시 서대문구 연희동 721	서울시	02-3140-8664	37.57665108	126.9313614	2020-01-01	3120000	서울특별시 서대문구
운산면사무소	민원실	충청남도	서산시	관공서	SKT	Public WiFi Free	Oct-15	충청남도 서산시 운산면 운암로 1016	충청남도 서산시 운산면 용장리 451	SKT	1899-4876	36.810905	126.580605	2020-07-01	4530000	충청남도 서산시
해담은어린공원	서14-204	서울특별시	서대문구	공원	서울시(LGU )	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 증가로29길 30-43	서울특별시 서대문구 북가좌동 324-2	서울시	02-3140-8664	37.58219238	126.9103967	2020-01-01	3120000	서울특별시 서대문구
동구물어린이공원	서14-204	서울특별시	서대문구	공원	서울시(LGU )	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연희로15길 103	서울특별시 서대문구 연희동 109-1	서울시	02-3140-8664	37.57146173	126.9279152	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-408 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연세로5나길 19	서울특별시 서대문구 창천동 57-18	서울시	02-3140-8664	37.55685968	126.935118	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-408 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연세로5나길 19	서울특별시 서대문구 창천동 57-18	서울시	02-3140-8664	37.55685968	126.935118	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-401 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 명물길 14	서울특별시 서대문구 창천동 13-29	서울시	02-3140-8664	37.55752266	126.9376676	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-401 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 명물길 14	서울특별시 서대문구 창천동 13-29	서울시	02-3140-8664	37.55752266	126.9376676	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-413 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연세로 42-42	서울특별시 서대문구 창천동 2-79	서울시	02-3140-8664	37.55929003	126.9393525	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-413 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연세로 42-42	서울특별시 서대문구 창천동 2-79	서울시	02-3140-8664	37.55929003	126.9393525	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-407 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 신촌역로 22-5	서울특별시 서대문구 대현동 60-11	서울시	02-3140-8664	37.55890633	126.9430386	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	서04-404 전주 CCTV폴	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 신촌역로 10	서울특별시 서대문구 대현동 101-7	서울시	02-3140-8664	37.55756328	126.943179	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	BUS 2013-04 대중교통전용지구폴 (브리지 모)	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 창천동 78-3	서울특별시 서대문구 창천동 78-3	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	BUS 2013-04 대중교통전용지구폴 (AP)	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 창천동 78-3	서울특별시 서대문구 창천동 78-3	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	BUS 2013-04 대중교통전용지구폴(브리지 자)	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연세로 4	서울특별시 서대문구 창천동 18-48	서울시	02-3140-8664	37.55588556	126.9370145	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	BUS 2013-04 대중교통전용지구폴(AP)	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연세로 4	서울특별시 서대문구 창천동 18-48	서울시	02-3140-8664	37.55588556	126.9370145	2020-01-01	3120000	서울특별시 서대문구
연세로 명물길	신촌 서04-127	서울특별시	서대문구	주요거리	서울시(SAW)	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 이화여대길 52-49	서울특별시 서대문구 대현동 34-15	서울시	02-3140-8664	37.55962261	126.9451027	2020-01-01	3120000	서울특별시 서대문구
연희어린이공원	서05-213	서울특별시	서대문구	공원	서울시(LGU )	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 연희동 446-182	서울특별시 서대문구 연희동 446-182	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
인왕소공원	서08-205	서울특별시	서대문구	공원	서울시(LGU )	PublicWiFi@Seoul	Dec-16	서울특별시 서대문구 홍제동 260-1	서울특별시 서대문구 홍제동 260-1	서울시	02-3140-8664			2020-01-01	3120000	서울특별시 서대문구
서대문구청	서대문구청 옥상 휴게실	서울특별시	서대문구	공공기관	서대문구	Public WiFi@Seodaemun	Jun-13	서울특별시 서대문구 연희로 248	서울특별시 서대문구 연희동 168-6	서대문구	02-3140-8664	37.57915463	126.9367592	2020-01-01	3120000	서울특별시 서대문구
기성면사무소	기성면사무소	경상북도	울진군	관공서	LGU+	Public WiFi Free	Dec-14	경상북도 울진군 기성면 척산2길 20-8	경상북도 울진군 기성면 척산리 342-1	경상북도 울진군	054-789-6581	36.798224	129.451457	2020-07-13	5250000	경상북도 울진군
기성보건지소	기성보건지소	경상북도	울진군	서민·복지시설	KT	Public WiFi Free	Dec-13	경상북도 울진군 기성면 기성로 665	경상북도 울진군 기성면 척산리 87-2	경상북도 울진군	054-789-6581	36.796948	129.452065	2020-07-13	5250000	경상북도 울진군
매화면사무소	매화면사무소	경상북도	울진군	관공서	LGU+	Public WiFi Free	Dec-14	경상북도 울진군 매화면 매화1길 95	경상북도 울진군 매화면 매화리 1139-12	경상북도 울진군	054-789-6581	36.912833	129.382276	2020-07-13	5250000	경상북도 울진군
영등포구청	서울 영등포구 당산동3가 당산공원	서울특별시	영등포구	기타	서울특별시 영등포구청	PublicWiFi@YDP	Mar-13	서울특별시 영등포구 당산로27길 12(당산동3가)	서울특별시 영등포구 당산동3가 385	서울특별시 영등포구청	02-2670-4275	37.5251775	126.8951347	2020-06-30	3180000	서울특별시 영등포구
영등포구청	서울시립 문래청소년수련관 지하1층	서울특별시	영등포구	관공서	서울특별시 영등포구청	PublicWiFi@YDP	Mar-13	서울특별시 영등포구 문래로 110	서울특별시 영등포구 문래동3가 73	서울특별시 영등포구청	02-2670-4275	37.518818	126.894075	2020-06-30	3180000	서울특별시 영등포구
영등포구청	서울시립 문래청소년수련관 1층	서울특별시	영등포구	관공서	서울특별시 영등포구청	PublicWiFi@YDP	Mar-13	서울특별시 영등포구 문래로 110	서울특별시 영등포구 문래동3가 73	서울특별시 영등포구청	02-2670-4275	37.518818	126.894075	2020-06-30	3180000	서울특별시 영등포구
영등포구청	서울시립 문래청소년수련관 1층	서울특별시	영등포구	관공서	서울특별시 영등포구청	PublicWiFi@YDP	Mar-13	서울특별시 영등포구 문래로 110	서울특별시 영등포구 문래동3가 73	서울특별시 영등포구청	02-2670-4275	37.518818	126.894075	2020-06-30	3180000	서울특별시 영등포구
영등포구청	서울시립 문래청소년수련관 3층	서울특별시	영등포구	관공서	서울특별시 영등포구청	PublicWiFi@YDP	Mar-13	서울특별시 영등포구 문래로 110	서울특별시 영등포구 문래동3가 73	서울특별시 영등포구청	02-2670-4275	37.518818	126.894075	2020-06-30	3180000	서울특별시 영등포구
